keys,es
NIGHT_07_TALE,"Cada vecino le añadía un chicle el día de su cumpleaños. El Barón dice que es una escultura moderna. Los vecinos dicen que es suya, y que aún sabe a fresa."
NIGHT_08_NAME,la corona de la Reina de los Pepinillos
NIGHT_08_BLURB,"Verde, con granitos. Muy real."
NIGHT_08_VERB,DESATORNILLANDO
NIGHT_08_TALE,"La Reina de los Pepinillos manda en el huerto del pueblo. Sin su corona los pepinillos no le hacen caso, y se pasan la noche bailando la conga por las calles. Nadie consigue dormir."
NIGHT_09_NAME,el trofeo del campeón de siestas
NIGHT_09_BLURB,Oro de verdad. Pesa como un gato dormido.
NIGHT_09_VERB,DESATORNILLANDO LA PEANA
NIGHT_09_TALE,Don Anacleto ganó el campeonato mundial de siestas durmiendo tres días seguidos. El Barón se lo llevó mientras dormía la cuarta. Todavía no se ha enterado.
NIGHT_10_NAME,el meteorito que huele a queso
NIGHT_10_BLURB,Cayó del cielo sobre la quesería.
NIGHT_10_VERB,ENGAÑANDO AL SENSOR
NIGHT_10_TALE,Huele tanto a queso que los ratones de tres pueblos se han mudado al museo. Un astrónomo ratón lo necesita para demostrar por fin que la Luna es de queso.
NIGHT_11_NAME,la máscara del dragón estornudón
NIGHT_11_BLURB,"Verde, con escamas. Pica un poco la nariz."
NIGHT_11_VERB,SOPLANDO EL POLVO
NIGHT_11_TALE,"El dragón del monte la usa para no quemar nada cuando estornuda. Sin ella, ya ha tostado tres pajares y el sombrero del alcalde. ¡Achís!"
NIGHT_12_NAME,la máscara del Pulpo Enmascarado
NIGHT_12_BLURB,Del luchador más famoso del mundo.
NIGHT_12_VERB,CORTANDO EL SELLO
NIGHT_12_TALE,"El Pulpo Enmascarado tiene ocho brazos y ninguna gana de enseñar la cara. Sin su máscara no puede salir al ring, y lleva una semana escondido detrás de una maceta. Sus fans están desesperados."
NIGHT_13_NAME,el despertador que canta tangos
NIGHT_13_BLURB,Suena a las siete. Con bandoneón.
NIGHT_13_VERB,PARANDO LA ALARMA
NIGHT_13_TALE,"Despertaba a la panadera cada mañana con un tango muy dramático. Sin él, el pueblo lleva una semana desayunando a la hora de comer."
NIGHT_14_NAME,el reloj que va hacia atrás
NIGHT_14_BLURB,Hace tic-tac al revés: cat-cit.
NIGHT_14_VERB,PARANDO LAS AGUJAS
NIGHT_14_TALE,"Con este reloj el Barón consigue que los lunes duren el doble. Si no lo recuperáis, pronto la semana tendrá nueve lunes y ningún sábado. ¡Eso sí que no!"
NIGHT_15_NAME,el huevo de chocolate que nunca se acaba
NIGHT_15_BLURB,"Por mucho que comas, siempre queda la mitad."
NIGHT_15_VERB,ABRIENDO EL ENVOLTORIO
NIGHT_15_TALE,"La gallina Petronila lo puso un domingo de Pascua y alimenta a todos los niños del pueblo. El Barón se lo come a escondidas, pero como nunca se acaba, no le sirve de nada."
NIGHT_16_NAME,el huevo del dinosaurio despistado
NIGHT_16_BLURB,Setenta millones de años. Aún está calentito.
NIGHT_16_VERB,SOLTANDO EL HUEVO
NIGHT_16_TALE,"Una mamá diplodocus lo dejó en un aparcamiento hace setenta millones de años y ha vuelto a buscarlo. Está en la puerta del museo, muy seria, pisando coches sin querer. Devolvédselo antes de que pise el vuestro."
NIGHT_17_NAME,los dientes de oro del pirata Mellado
NIGHT_17_BLURB,Tres dientes. El cuarto se lo tragó una ballena.
NIGHT_17_VERB,ABRIENDO EL COFRE
NIGHT_17_TALE,"El pirata Mellado ya no puede decir «¡al abordaje!» sin silbar. Su loro se ríe de él cada vez, y un pirata sin dignidad no puede navegar."
NIGHT_18_NAME,el pato de goma del almirante
NIGHT_18_BLURB,Azul marino. Ha dado tres veces la vuelta al mundo.
NIGHT_18_VERB,SOLTANDO LAS AMARRAS
NIGHT_18_TALE,"El almirante se niega a bañarse sin su pato, y la flota entera está esperando en el puerto a que se bañe. Los peces se están aburriendo."
NIGHT_19_NAME,la gema del faro que no se apaga
NIGHT_19_BLURB,Da luz sin pilas desde hace doscientos años.
NIGHT_19_VERB,DESCONECTANDO EL FARO
NIGHT_19_TALE,"Sin su gema, el faro del pueblo está a oscuras y los barcos atracan donde pueden. Ayer uno aparcó en la plaza, justo delante de la heladería."
NIGHT_20_NAME,el Diamante Bostezo
NIGHT_20_BLURB,"Quien lo mira, bosteza y se duerme."
NIGHT_20_VERB,ABRIENDO LA CAJA FUERTE
NIGHT_20_TALE,Es el tesoro del Barón y su gran truco: con él dormía a todo el pueblo para llevarse lo que quería. Sin el diamante se le acabaron los trucos. Pero es la última noche... y os están esperando.
LOOT_1_NAME,el Ojo de Medianoche
LOOT_1_BLURB,Un zafiro del tamaño de un puño.
LOOT_1_VERB,FORZANDO LA VITRINA
LOOT_1_TALE,"Lo sacaron de una mina birmana en 1887 y desde entonces ha cambiado de dueño once veces, casi nunca por las buenas. Dicen que de noche brilla solo. Esta noche va a brillar en tu bolsillo."
LOOT_2_NAME,el huevo de oviraptor
LOOT_2_BLURB,Fósil de setenta millones de años.
LOOT_2_VERB,SOLTANDO EL HUEVO
LOOT_2_TALE,Un paleontólogo lo encontró en el desierto de Gobi dentro de una roca que usaba de pisapapeles. Pesa como un ladrillo y es más frágil que tu coartada. Llévalo con cariño.
LOOT_3_NAME,la corona de la reina Urraca
LOOT_3_BLURB,Oro batido y granates.
LOOT_3_VERB,DESATORNILLANDO
LOOT_3_TALE,La reina Urraca la mandó hacer con las joyas que robaba a sus propios invitados. Un coleccionista paga una fortuna por devolverla a la familia del oficio.
LOOT_4_NAME,el meteorito de Tolva
LOOT_4_BLURB,Hierro caído del cielo en 1911.
LOOT_4_VERB,ENGAÑANDO EL SENSOR
LOOT_4_TALE,Cayó sobre el granero de un tal Tolva y lo partió en dos. El museo lo compró por cuatro perras; un laboratorio lo quiere a cualquier precio. Pesa más de lo que parece.
LOOT_5_NAME,la máscara de jade
LOOT_5_BLURB,"Funeraria, doscientas teselas verdes."
LOOT_5_VERB,CORTANDO EL SELLO
LOOT_5_TALE,Doscientas teselas de jade cosidas con hilo de oro para un rey que no quería que nadie le viera la cara. Lleva cinco siglos mirando al público. Ya le toca descansar.
LOOT_6_NAME,el ídolo de obsidiana
LOOT_6_BLURB,La pieza estrella del museo.
LOOT_6_VERB,ABRIENDO LA CERRADURA
LOOT_6_TALE,La pieza estrella: nadie sabe quién la talló ni por qué todos los que la han tenido acabaron durmiendo con la luz encendida. Tu cliente dice que no cree en maldiciones.
END_CAUGHT,TE HAN PILLADO
END_BACK_IN_CASE,%s vuelve a su vitrina.
END_STILL_THERE,%s sigue en su sitio.
END_AGAIN,▶ OTRA VEZ
END_PERFECT,¡GOLPE PERFECTO!
END_HOME,%s vuelve a casa.
END_LEVEL_DONE,Nivel %d superado: %s ya es tuyo.
END_NEXT_NIGHT,▶ SIGUIENTE NOCHE
END_NEXT_HEIST,▶ SIGUIENTE GOLPE
END_TO_MENU,< VOLVER AL MENÚ
HUD_HELP,P pausa · M mapa · E tirar cosas · C a gatas
HUD_MAP_HIDE,M o Y para guardarlo
HUD_COUNT_GO,GO!
HUD_JOB_WAIT_PANEL,¡QUE TU COMPAÑERO SUJETE EL CUADRO DE ALARMA!
HUD_JOB_TWO_LOCKS,¡DOS CERRADURAS: FALTA OTRO LADRÓN EN LA VITRINA!
HUD_JOB_CARRYING,TIENES %s · ¡A LA SALIDA!
HUD_JOB_DROPPED,%s ESTÁ EN EL SUELO
HUD_JOB_PANEL_HELD,ALARMA DESCONECTADA · ¡A LA VITRINA!
HUD_PUSH_HINT,%s / X: TIRAR %s
HUD_SHOUT_1,¡ALTO!
HUD_SHOUT_2,¡QUIETO!
HUD_SHOUT_3,¡PARA!
HUD_SHOUT_FAR,%s grita a lo lejos · %s
HUD_SHOUT_NEAR,%s grita cerca · %s
HUD_SIGN_EXIT,SALIDA
HUD_SIGN_ALARM,ALARMA
LEGEND_THIEF,vosotros
LEGEND_GEM,la pieza
LEGEND_EXIT,la salida
LEGEND_GUARD,guardia
LEGEND_PROP,se puede tirar
LEGEND_ROUTE,ruta
LEGEND_PANEL,alarma
LOG_CRASH_EVERYWHERE,¡Menudo estruendo! %s se ha oído en todo el museo
LOG_KNOCKED,¡Has tirado %s!
LOG_CASE_ALARM,¡Salta la alarma de la vitrina!
LOG_GOT_IT,"Tienes %s: ahora, a la salida"
LOG_GOT_IT_TEAM,"Tenéis %s: ahora, todos a la salida"
LOG_DROPPED,%s ha caído al suelo
LOG_HEARD_BY,%s lo ha oído y viene
LOG_AND, y 
LOG_NOBODY_HEARD,nadie más lo ha oído
LOG_SHOUT,%s: ¡Alto! — %s
LOG_WARN,%s avisa a %s en voz baja
LOG_LIGHTS,%s enciende las luces %s
LOG_THE_ROOM_OF,de la sala
LOG_OUT_WAITING,%s ya está fuera · faltan los demás
LOG_DECISION,%s: %s · %d%%%s
LOG_TORN, (duda)
LOG_BRAIN_FAILED,IA: reglas de reserva (%s)
BRAIN_SEND_FAILED,no se pudo enviar (%d)
BRAIN_NO_CONNECTION,sin conexión con el cerebro
BRAIN_NET_ERROR,error de red %d
BRAIN_HTTP_CODE,el cerebro respondió %d
BRAIN_UNREADABLE,respuesta ilegible
MIND_SEEN,Te ha visto
MIND_THINKING,pensando…
MIND_NOTE,ritmo %d%% · %s%s
MIND_TORN, · duda
MIND_PLAN_CHASE,Acudir al grito
MIND_PLAN_CUT_OFF,Cortarle el paso
MIND_PLAN_FOLLOW,Seguir el rastro
MIND_PLAN_SEARCH,Registrar la pista
MIND_PLAN_CHECK_ZONE,Revisar otra zona
MIND_PLAN_COVER,Cubrir el otro lado
MIND_PLAN_PATROL,Seguir la ronda
MIND_PLAN_WATCH,Vigilar el cruce
MIND_LOOK_SWEEP,barre con la linterna
MIND_LOOK_AHEAD,linterna al frente
MIND_LOOK_CLUE,linterna hacia la pista
GUARD_WHO_KNOCKED,¿Quién ha tirado %s?
GUARD_ZONE_CLEAR,%s está despejada
GUARD_THE_ZONE,la zona
PROP_BIN,la papelera
PROP_BUST,el busto
PROP_PANEL,el panel
PROP_ARMOUR,la armadura
ZONE_MUSEUM,el museo
ZONE_NUMBERED,%s (%d)
ZONE_CORRIDOR,el pasillo
ZONE_CORRIDOR_EAST,el pasillo al este %s
ZONE_CORRIDOR_WEST,el pasillo al oeste %s
ZONE_CORRIDOR_NORTH,el pasillo al norte %s
ZONE_CORRIDOR_SOUTH,el pasillo al sur %s
ZONE_STRETCH,%s (tramo %d)
GALLERY_EGYPTIAN_GALLERY,la sala egipcia
GALLERY_EGYPTIAN_GALLERY_OF,de la sala egipcia
GALLERY_MINERAL_HALL,la sala de minerales
GALLERY_MINERAL_HALL_OF,de la sala de minerales
GALLERY_FOSSIL_GALLERY,la galería de fósiles
GALLERY_FOSSIL_GALLERY_OF,de la galería de fósiles
GALLERY_BUTTERFLY_ROOM,la sala de mariposas
GALLERY_BUTTERFLY_ROOM_OF,de la sala de mariposas
GALLERY_PORTRAIT_GALLERY,la galería de retratos
GALLERY_PORTRAIT_GALLERY_OF,de la galería de retratos
GALLERY_MAP_ROOM,la sala de mapas
GALLERY_MAP_ROOM_OF,de la sala de mapas
GALLERY_SCULPTURE_COURT,el patio de esculturas
GALLERY_SCULPTURE_COURT_OF,del patio de esculturas
GALLERY_ARMOURY,la armería
GALLERY_ARMOURY_OF,de la armería
GALLERY_CLOCK_ROOM,la sala de relojes
GALLERY_CLOCK_ROOM_OF,de la sala de relojes
GALLERY_CERAMICS_GALLERY,la sala de cerámica
GALLERY_CERAMICS_GALLERY_OF,de la sala de cerámica
GALLERY_METEORITE_ROOM,la sala de meteoritos
GALLERY_METEORITE_ROOM_OF,de la sala de meteoritos
GALLERY_BIRD_GALLERY,la sala de aves
GALLERY_BIRD_GALLERY_OF,de la sala de aves
GALLERY_COIN_CABINET,el gabinete de monedas
GALLERY_COIN_CABINET_OF,del gabinete de monedas
GALLERY_TEXTILE_GALLERY,la sala de tejidos
GALLERY_TEXTILE_GALLERY_OF,de la sala de tejidos
GALLERY_SHIP_MODEL_ROOM,la sala de maquetas navales
GALLERY_SHIP_MODEL_ROOM_OF,de la sala de maquetas navales
GALLERY_ROMAN_GALLERY,la sala romana
GALLERY_ROMAN_GALLERY_OF,de la sala romana
GALLERY_TAPESTRY_HALL,la sala de tapices
GALLERY_TAPESTRY_HALL_OF,de la sala de tapices
GALLERY_PRINTS_ROOM,el gabinete de grabados
GALLERY_PRINTS_ROOM_OF,del gabinete de grabados
GALLERY_INSTRUMENT_GALLERY,la sala de instrumentos
GALLERY_INSTRUMENT_GALLERY_OF,de la sala de instrumentos
GALLERY_WHALE_HALL,la sala de la ballena
GALLERY_WHALE_HALL_OF,de la sala de la ballena
GALLERY_JEWEL_ROOM,la sala de joyas
GALLERY_JEWEL_ROOM_OF,de la sala de joyas
GALLERY_INSECT_GALLERY,la sala de insectos
GALLERY_INSECT_GALLERY_OF,de la sala de insectos
GALLERY_VIKING_GALLERY,la sala vikinga
GALLERY_VIKING_GALLERY_OF,de la sala vikinga
GALLERY_GLOBE_ROOM,la sala de globos terráqueos
GALLERY_GLOBE_ROOM_OF,de la sala de globos terráqueos
MENU_PLAYERS_4,4 LADRONES
MENU_PLAYERS_4_TEXT,Dos alarmas y dos cerraduras
MENU_PLAY_4,▶ 4 LADRONES
SEAT_KB_PAD,Teclado · numérico
LESSON_HEIST4_TITLE,EL GOLPE EN EQUIPO
LESSON_HEIST4_TEXT,Dos sujetan las dos alarmas; dos abren las cerraduras a la vez. Salid todos.
BRIEF_TEAM_TWO_PANELS,Dos sujetan los dos cuadros de alarma (naranja) mientras los otros dos abren a la vez las dos cerraduras de la vitrina
HUD_JOB_WAIT_PANELS,¡HAY QUE SUJETAR LOS DOS CUADROS DE ALARMA!
